latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
33.61192,-117.82406,307.89,0.39,0.44,2026-08-05,1013,N,VIIRS,n,2.0NRT,288.64,0.7,N
33.71537,-117.7103,312.87,0.4,0.44,2026-08-05,1013,N,VIIRS,n,2.0NRT,289.95,0.93,N
33.79322,-117.47643,310.04,0.41,0.45,2026-08-05,1013,N,VIIRS,n,2.0NRT,290.56,0.96,N
33.79576,-117.47334,304.1,0.41,0.45,2026-08-05,1013,N,VIIRS,n,2.0NRT,291.1,0.76,N
34.14213,-117.42864,306.92,0.4,0.44,2026-08-05,1013,N,VIIRS,n,2.0NRT,290.48,0.25,N
34.15303,-118.19513,314.63,0.55,0.43,2026-08-05,1013,N,VIIRS,n,2.0NRT,289.55,1.12,N
34.24462,-118.38301,300.49,0.54,0.42,2026-08-05,1013,N,VIIRS,n,2.0NRT,289.49,0.33,N
34.35304,-116.85336,308.41,0.43,0.46,2026-08-05,1013,N,VIIRS,n,2.0NRT,294.74,1.42,N
34.60578,-117.33653,305.76,0.4,0.44,2026-08-05,1013,N,VIIRS,n,2.0NRT,293.72,1.38,N
34.60979,-117.33543,313.02,0.4,0.44,2026-08-05,1013,N,VIIRS,n,2.0NRT,294.8,1.38,N
34.62304,-117.10041,319.96,0.41,0.45,2026-08-05,1013,N,VIIRS,n,2.0NRT,296.25,1.59,N
34.67744,-118.05965,346.98,0.48,0.48,2026-08-05,2133,N,VIIRS,n,2.0NRT,317.23,15.2,D
33.71717,-117.70963,302.56,0.4,0.37,2026-08-06,956,N,VIIRS,n,2.0NRT,291.64,0.66,N
33.73721,-118.27388,303.64,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,291.45,0.36,N
33.793,-117.4766,310.27,0.4,0.37,2026-08-06,956,N,VIIRS,n,2.0NRT,290.86,1.22,N
33.85275,-118.33366,308.87,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,294.66,1.62,N
33.95662,-117.12222,297.57,0.4,0.37,2026-08-06,956,N,VIIRS,n,2.0NRT,283.61,0.32,N
34.03647,-118.10732,304.79,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,291.29,0.56,N
34.1147,-117.92483,302.52,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,291.1,0.43,N
34.1526,-118.19422,310.39,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,290.13,1.04,N
34.24448,-118.38129,305.56,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,290.91,0.47,N
34.35321,-116.85385,308,0.41,0.37,2026-08-06,956,N,VIIRS,n,2.0NRT,288.45,1.54,N
34.607,-117.33804,309.68,0.4,0.37,2026-08-06,956,N,VIIRS,n,2.0NRT,295.08,1.56,N
34.62186,-117.10171,312.33,0.4,0.37,2026-08-06,956,N,VIIRS,n,2.0NRT,286.5,1.6,N
34.68682,-118.15241,306.07,0.39,0.36,2026-08-06,956,N,VIIRS,n,2.0NRT,292.67,0.88,N
33.715,-117.71011,333.75,0.4,0.4,2026-08-06,2115,N,VIIRS,l,2.0URT,304.85,1.63,D
34.15281,-118.19704,301.88,0.52,0.66,2026-08-05,852,N20,VIIRS,n,2.0NRT,288.96,0.45,N
34.60921,-117.33887,312.8,0.46,0.64,2026-08-05,852,N20,VIIRS,n,2.0NRT,294.02,1.48,N
33.71503,-117.71201,302.01,0.48,0.65,2026-08-05,854,N20,VIIRS,n,2.0NRT,288.77,0.67,N
33.77934,-118.23882,302.36,0.51,0.66,2026-08-05,854,N20,VIIRS,n,2.0NRT,291.85,0.77,N
33.79519,-117.47686,302.52,0.47,0.64,2026-08-05,854,N20,VIIRS,n,2.0NRT,290.05,0.48,N
33.82296,-118.24658,300.9,0.52,0.66,2026-08-05,854,N20,VIIRS,n,2.0NRT,290.54,0.95,N
34.08147,-117.50328,303.04,0.47,0.64,2026-08-05,854,N20,VIIRS,n,2.0NRT,290.5,1.14,N
33.61576,-117.82287,298.44,0.44,0.63,2026-08-05,1034,N20,VIIRS,n,2.0NRT,287.84,0.41,N
33.71584,-117.71198,303.59,0.45,0.63,2026-08-05,1034,N20,VIIRS,n,2.0NRT,288.94,0.4,N
33.7947,-117.47433,302.06,0.46,0.64,2026-08-05,1034,N20,VIIRS,n,2.0NRT,290.18,0.98,N
33.79595,-117.47679,299.51,0.46,0.64,2026-08-05,1034,N20,VIIRS,n,2.0NRT,289.49,1,N
34.15491,-118.19453,301.12,0.41,0.61,2026-08-05,1034,N20,VIIRS,n,2.0NRT,288.39,0.72,N
34.60891,-117.33852,313.24,0.45,0.63,2026-08-05,1034,N20,VIIRS,n,2.0NRT,292.87,1.42,N
34.61966,-117.10291,308.93,0.46,0.64,2026-08-05,1034,N20,VIIRS,n,2.0NRT,292.27,1.46,N
33.71749,-117.7092,309.38,0.49,0.48,2026-08-06,1013,N20,VIIRS,n,2.0NRT,291.2,1.08,N
33.7178,-117.71256,306.21,0.49,0.48,2026-08-06,1013,N20,VIIRS,n,2.0NRT,290.41,0.86,N
33.79276,-117.47308,300.45,0.5,0.49,2026-08-06,1013,N20,VIIRS,n,2.0NRT,290.21,1.42,N
33.8209,-118.24272,306.4,0.45,0.47,2026-08-06,1013,N20,VIIRS,n,2.0NRT,293.95,1.69,N
33.85395,-118.33349,308.29,0.45,0.47,2026-08-06,1013,N20,VIIRS,n,2.0NRT,293.48,1.36,N
34.15472,-118.19081,312.62,0.45,0.47,2026-08-06,1013,N20,VIIRS,n,2.0NRT,289.92,1.36,N
34.6081,-117.3373,317.11,0.49,0.48,2026-08-06,1013,N20,VIIRS,n,2.0NRT,296.39,1.88,N
34.62395,-117.10288,306.18,0.5,0.49,2026-08-06,1013,N20,VIIRS,n,2.0NRT,284.62,1.32,N
